"sample","detailed_category","primary disease or tissue","_primary_site","_sample_type","_gender","_study","cancer","sample.type.cancer.info","Grade","Stage","TNM.Metastasis","TNM.Node","TNM.Tumor","Cancer.Type.Detailed","Subtype"
"TCGA-E2-A1L7-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E2-A1L7-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E2-A1L8-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E2-A1L9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1MI","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E2-A1LA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1A","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E2-A1LB-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-E2-A1LB-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E2-A1LE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-E2-A1LG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Lobular Carcinoma","BRCA_Basal"
"TCGA-E2-A1LH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A1LH-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E2-A1LI-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A1LK-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3A","T4B","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A1LL-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","MX","N2A","T3","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A1LS-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma",NA
"TCGA-E2-A1LS-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E2-A2P5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-E2-A2P6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E2-A3DX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Lobular Carcinoma",NA
"TCGA-E2-A56Z-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E2-A570-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IB","M0","N1MI","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E2-A572-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E2-A573-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A574-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E2-A576-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","MX","N0","T1C","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E2-A9RU-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","MX","N3A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1N3-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A1N4-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A1N4-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1N5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A1N5-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1N6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma",NA
"TCGA-E9-A1N6-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1N8-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A1N9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-E9-A1N9-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1NA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumB"
"TCGA-E9-A1NA-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1NC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Carcinoma (NOS)","BRCA_Basal"
"TCGA-E9-A1ND-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A1ND-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1NE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1NF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumB"
"TCGA-E9-A1NF-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1NG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1NG-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1NH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1NI-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)","BRCA_LumB"
"TCGA-E9-A1QZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R0-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R2-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","MX","N3","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R3-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R4-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1R5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1R7-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1R7-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1RB-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1RB-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RC-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T4B","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A1RC-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RD-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1RD-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1RF-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A1RF-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RG-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A1RH-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-E9-A1RH-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A1RI-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A1RI-11","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Solid Tissue Normal","Female","TCGA","BRCA","Paracancer",NA,NA,NA,NA,NA,NA,NA
"TCGA-E9-A226-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A227-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A228-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A229-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A22A-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A22B-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-E9-A22D-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A22E-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A22G-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A22H-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A243-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A244-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A245-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A247-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A248-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Her2"
"TCGA-E9-A249-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-E9-A24A-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N1","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-E9-A295-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E9-A2JS-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Lobular Carcinoma","BRCA_LumB"
"TCGA-E9-A2JT-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E9-A3HO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Lobular Carcinoma","BRCA_LumB"
"TCGA-E9-A3Q9-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T3","Breast Invasive Lobular Carcinoma",NA
"TCGA-E9-A3QA-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0 (I-)","T2","Breast Invasive Ductal Carcinoma","BRCA_Basal"
"TCGA-E9-A3X8-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E9-A54X-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0 (I-)","T1B","Breast Invasive Mixed Mucinous Carcinoma",NA
"TCGA-E9-A54Y-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","M0","N2","T2","Breast Invasive Lobular Carcinoma","BRCA_LumB"
"TCGA-E9-A5FK-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","M0","N3","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-E9-A5FL-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0","T3","Metaplastic Breast Cancer","BRCA_Basal"
"TCGA-E9-A5UO-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Mixed Mucinous Carcinoma","BRCA_LumB"
"TCGA-E9-A5UP-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","M0","N0","T2","Breast Invasive Carcinoma (NOS)",NA
"TCGA-E9-A6HE-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIC","MX","N3","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-EW-A1IW-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","MX","N1A","T2","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-EW-A1IX-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIA","MX","N1A","T1B","Breast Invasive Carcinoma (NOS)","BRCA_LumA"
"TCGA-EW-A1IY-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","MX","N0","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
"TCGA-EW-A1IZ-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIIA","MX","N2A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-EW-A1J1-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N1A","T2","Breast Invasive Ductal Carcinoma","BRCA_LumA"
"TCGA-EW-A1J2-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","MX","N1MI","T1C","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-EW-A1J3-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IA","M0","N0","T1C","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-EW-A1J5-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE IIB","M0","N0 (I-)","T3","Breast Invasive Lobular Carcinoma","BRCA_LumA"
"TCGA-EW-A1J6-01","BREAST INVASIVE CARCINOMA","Breast Invasive Carcinoma","Breast","Primary Tumor","Female","TCGA","BRCA","Cancer",NA,"STAGE I","M0","N0 (I-)","T1C","Breast Invasive Ductal Carcinoma","BRCA_LumB"
